[0.000000] (-) TimerEvent: {}
[0.000114] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.146518] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/generate_lib/generic/package.xml\n'}
[0.146594] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/agent_ros2_packages.txt\n'}
[0.146672] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian\n'}
[0.146748] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/dev_uros_packages.repos\n'}
[0.146825] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/dev_ros2_packages.txt\n'}
[0.146904] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic\n'}
[0.146981] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/client-colcon.meta\n'}
[0.147058] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/flash.sh\n'}
[0.147136] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/create.sh\n'}
[0.147213] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/build.sh\n'}
[0.147289] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/client_uros_packages.repos\n'}
[0.147390] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/supported_platforms\n'}
[0.147426] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/raspbian/generic/configure.sh\n'}
[0.147460] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos\n'}
[0.147495] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/list_apps.sh\n'}
[0.147529] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg\n'}
[0.147565] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client-colcon.meta\n'}
[0.147600] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/flash.sh\n'}
[0.147635] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/create.sh\n'}
[0.147671] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/build.sh\n'}
[0.147706] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/board.repos\n'}
[0.147741] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client_uros_packages.repos\n'}
[0.147817] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/package.xml\n'}
[0.147854] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f746zg/configure.sh\n'}
[0.147889] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/dev_uros_packages.repos\n'}
[0.147925] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re\n'}
[0.147960] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/client-colcon.meta\n'}
[0.147996] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/flash.sh\n'}
[0.148031] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/create.sh\n'}
[0.148067] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/build.sh\n'}
[0.148102] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/board.repos\n'}
[0.148137] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/client_uros_packages.repos\n'}
[0.148173] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/package.xml\n'}
[0.148208] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446re/configure.sh\n'}
[0.148243] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze\n'}
[0.148279] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client-colcon.meta\n'}
[0.148314] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/flash.sh\n'}
[0.148402] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/create.sh\n'}
[0.148440] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/build.sh\n'}
[0.148477] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/board.repos\n'}
[0.148513] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client_uros_packages.repos\n'}
[0.148548] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/package.xml\n'}
[0.148583] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f446ze/configure.sh\n'}
[0.148620] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32\n'}
[0.148657] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/client-colcon.meta\n'}
[0.148692] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/flash.sh\n'}
[0.148728] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/README.md\n'}
[0.148763] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/create.sh\n'}
[0.148799] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/build.sh\n'}
[0.148835] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/board.repos\n'}
[0.148871] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/client_uros_packages.repos\n'}
[0.148908] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/package.xml\n'}
[0.148944] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/esp32/configure.sh\n'}
[0.148980] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407\n'}
[0.149015] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client-colcon.meta\n'}
[0.149052] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/flash.sh\n'}
[0.149087] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/create.sh\n'}
[0.149123] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/build.sh\n'}
[0.149158] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/board.repos\n'}
[0.149203] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client_uros_packages.repos\n'}
[0.149240] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/package.xml\n'}
[0.149275] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/configure.sh\n'}
[0.149312] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/dev_ros2_packages.txt\n'}
[0.149378] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21\n'}
[0.149413] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client-colcon.meta\n'}
[0.149446] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/flash.sh\n'}
[0.149480] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/create.sh\n'}
[0.149513] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/build.sh\n'}
[0.149548] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/board.repos\n'}
[0.149581] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client_uros_packages.repos\n'}
[0.149615] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/package.xml\n'}
[0.149648] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/configure.sh\n'}
[0.149681] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi\n'}
[0.149714] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client-colcon.meta\n'}
[0.149750] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/flash.sh\n'}
[0.149786] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/create.sh\n'}
[0.149822] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/build.sh\n'}
[0.149858] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/board.repos\n'}
[0.149969] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client_uros_packages.repos\n'}
[0.150013] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/package.xml\n'}
[0.150052] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/./config/freertos/nucleo_f767zi/configure.sh\n'}
[0.150088] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_ws.sh\n'}
[0.150124] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_agent_ws.sh\n'}
[0.150159] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_firmware_ws.sh\n'}
[0.150195] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/configure_firmware.sh\n'}
[0.150231] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/flash_firmware.sh\n'}
[0.150267] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/build_firmware.sh\n'}
[0.150303] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/build_agent.sh\n'}
[0.150339] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/yaml_filter.py\n'}
[0.150389] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/clean_env.sh\n'}
[0.150426] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/logan/uros_ws/install/micro_ros_setup/lib/micro_ros_setup/component\n'}
[0.150851] (micro_ros_setup) CommandEnded: {'returncode': 0}
[0.182901] (micro_ros_setup) JobEnded: {'identifier': 'micro_ros_setup', 'rc': 0}
[0.183473] (-) EventReactorShutdown: {}
